Date,Description,Amount
11/18/2025,TRADER JOES #448    BROOKLYN            NY,14.95
04/17/2025,SPOTIFY USA         NEW YORK            NY,10.99
10/05/2025,AUTOPAY PAYMENT - THANK YOU,-664.03
09/20/2025,T-MOBILE            BELLEVUE            WA,76.48
08/21/2025,TARGET T-1189       SEATTLE             WA,19.99
09/23/2025,CHILDREN INTERNATIONKANSAS CITY         MO,30.00
06/06/2025,EQUINOX MEMBERSHIP  NEW YORK            NY,250.00
02/17/2025,HILTON MIDTOWN      NEW YORK            NY,636.44
08/13/2025,LYFT RIDE           help.lyft.com       CA,27.31
10/22/2025,UNITED AIRLINES     CHICAGO             IL,387.65
12/12/2025,TARGET T-1189       SEATTLE             WA,43.50
05/05/2025,OPENAI *CHATGPT     SAN FRANCISCO       CA,20.00
04/15/2025,CVS/PHARMACY #9812  JERSEY CITY         NJ,59.40
12/16/2025,LYFT RIDE           help.lyft.com       CA,66.92
08/05/2025,MICROSOFT           MSBILL.INFO,9.99
05/08/2025,WALMART SUPERCENTER DALLAS              TX,9.31
01/05/2025,TRADER JOES #448    BROOKLYN            NY,167.35
05/07/2025,CVS/PHARMACY #9812  JERSEY CITY         NJ,58.82
07/14/2025,CHEVRON 009381      LOS ANGELES         CA,19.66
08/23/2025,AUTOPAY PAYMENT - THANK YOU,-305.53
01/20/2025,GOOGLE *YOUTUBEPREM MOUNTAIN VIEW       CA,13.99
01/19/2025,CHEVRON 009381      LOS ANGELES         CA,85.80
04/29/2025,GOOGLE *YOUTUBEPREM MOUNTAIN VIEW       CA,13.99
03/11/2025,APPLE.COM/BILL      INTERNET CHARGE     CA,0.99
09/10/2025,AUTOPAY PAYMENT - THANK YOU,-587.93
09/26/2025,NETFLIX.COM         LOS GATOS           CA,15.49
12/10/2025,AMAZON MKTPLACE PMTS AMZN.COM/BILL      WA,159.34
09/18/2025,TARGET T-1189       SEATTLE             WA,75.61
04/20/2025,DOORDASH            SAN FRANCISCO       CA,39.79
04/17/2025,TRADER JOES #448    BROOKLYN            NY,202.63
11/04/2025,NYCDOT PARKNYC      LONG ISLAND C       NY,12.70
12/13/2025,AUTOPAY PAYMENT - THANK YOU,-84.27
02/14/2025,NYCDOT PARKNYC      LONG ISLAND C       NY,14.47
03/02/2025,STARBUCKS 12TH AVE  NEW YORK            NY,5.18
05/15/2025,HILTON MIDTOWN      NEW YORK            NY,141.18
01/04/2025,WHOLEFDS DWTN 10293 NEW YORK            NY,90.85
09/03/2025,GRUBHUB             CHICAGO             IL,14.55
08/05/2025,VERIZON WIRELESS    BASKING RIDGE       NJ,95.84
04/04/2025,WHOLEFDS DWTN 10293 NEW YORK            NY,54.09
07/17/2025,NETFLIX.COM         LOS GATOS           CA,15.49
08/01/2025,WALGREENS #31290    AUSTIN              TX,35.80
03/16/2025,PLANET FITNESS      HAMPTON             NH,24.99
05/27/2025,NETFLIX.COM         LOS GATOS           CA,15.49
12/29/2025,SHELL OIL 5748392   SAN DIEGO           CA,26.81
04/21/2025,GOOGLE *YOUTUBEPREM MOUNTAIN VIEW       CA,13.99
05/14/2025,ADOBE *CREATIVE CLD SAN JOSE            CA,54.99
01/18/2025,PLANET FITNESS      HAMPTON             NH,24.99
07/26/2025,MICROSOFT           MSBILL.INFO,9.99
12/02/2025,TRADER JOES #448    BROOKLYN            NY,108.76
04/01/2025,TARGET T-1189       SEATTLE             WA,169.77
07/23/2025,AMAZON MKTPLACE PMTS AMZN.COM/BILL      WA,125.32
02/03/2025,HILTON MIDTOWN      NEW YORK            NY,152.05
12/29/2025,NYCDOT PARKNYC      LONG ISLAND C       NY,5.03
08/01/2025,LYFT RIDE           help.lyft.com       CA,8.98
11/21/2025,MARRIOTT DOWNTOWN   BOSTON              MA,547.70
03/14/2025,UNITED AIRLINES     CHICAGO             IL,258.08
06/30/2025,HILTON MIDTOWN      NEW YORK            NY,600.58
12/04/2025,TARGET T-1189       SEATTLE             WA,130.64
10/23/2025,VERIZON WIRELESS    BASKING RIDGE       NJ,131.59
10/17/2025,ATM FEE REVERSAL    BANK CREDIT,-7.40
06/06/2025,APPLE.COM/BILL      INTERNET CHARGE     CA,0.99
01/06/2025,EQUINOX MEMBERSHIP  NEW YORK            NY,250.00
02/03/2025,CVS/PHARMACY #9812  JERSEY CITY         NJ,43.65
10/22/2025,CHILDREN INTERNATIONKANSAS CITY         MO,30.00
04/26/2025,MARRIOTT DOWNTOWN   BOSTON              MA,295.14
06/11/2025,SPOTIFY USA         NEW YORK            NY,10.99
08/27/2025,GOOGLE *YOUTUBEPREM MOUNTAIN VIEW       CA,13.99
06/18/2025,EQUINOX MEMBERSHIP  NEW YORK            NY,250.00
05/12/2025,SPOTIFY USA         NEW YORK            NY,10.99
